accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
OP879754	OP879754.1	NJ-MPXV-039	2022-07-18	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321701	Palmateer et al.	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories	IIb	hMPXV-1	B.1.3	0.9603466373238544	6262	598	2	good	good	good	good	good		False	2022.5438356164384
OP881946	OP881946.1	MPXV_USA_2022_FL0027	2022-09-XX	North America	USA	Florida		Homo sapiens	2022-11-23	SRR22383423	Gigante et al.	Gigante,C.,Lee,P.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Stanek,D.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.2	0.9997920987378872	41	611	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OP890564	OP890564.1	MPXV/Human/USA/CA-LACPHL-MA00336/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9866486823623668	1133	601	0	good	good	good	good	good		False	2022.8561643835617
OQ547882	OQ547882.1	hMpxV/USA/CACDPH1MPX1000174/2022	2022-12-23	North America	USA			Homo sapiens	2023-03-07		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.97928593522608	3373	593	1	good	good	good	good	good		False	2022.9767123287672
OR160415	OR160415.1	hMpxV/USA/IL-RIPHL-MPXV-050-0057/2023	2023-05-18	North America	USA	Illinois	Cook County IL	Homo sapiens	2023-06-27		Green et al.	Green,S.,Kunstman,K.,Barbian,H.,Araujo Perez,F.,Kittner,A.,Bobrovska,S.	Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)	IIb	hMPXV-1	B.1.20	0.996278060331932	42	611	0	good	good	good	good	good		False	2023.376712328767
OR473617	OR473617.1	hMpxV/USA/IL-RIPHL-MPXV-050-0085/2023	2023-07-11	North America	USA	Illinois	Cook County IL	Homo sapiens	2023-08-29		Green et al.	Green,S.,Kunstman,K.,Barbian,H.,Araujo Perez,F.,Kittner,A.,Bobrovska,S.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	IIb	hMPXV-1	B.1.20	0.9816083444467544	2079	606	0	good	good	good	good	good		False	2023.5246575342467
OR499964	OR499964.1	MPXV/Human/USA/CA-LACPHL-MA00507/2023	2023-04-10	North America	USA			Homo sapiens	2023-09-05		Garrigues et al.	Garrigues,J.M.,Green,N.M.	Los Angeles County Public Health Laboratories	IIb	hMPXV-1	B.1.20	0.980071903412116	2343	599	0	good	good	good	good	good		False	2023.272602739726
PP182134	PP182134.1	MPXV/Germany/2023/ON/RKI1081	2023-12-XX	Europe	Germany			Homo sapiens	2024-01-28		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9647277761156944	446	585	0	good	good	good	good	good		False	[2023.9164383561645:2023.9986301369863]
PP437881	PP437881.1	MPXV/Human/USA/CA-LACPHL-MA00585/2024	2024-02-07	North America	USA			Homo sapiens	2024-03-11		McCann et al.	McCann,S.P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Department of Public Health Laboratory, Sequencing Unit	IIb	hMPXV-1	B.1.20	0.9814714338595094	1058	609	2	good	good	good	good	good		False	2024.1024590163934
PP507065	PP507065.1	MPXV/Human/USA/CA-LACPHL-MA00598/2023	2023-10-26	North America	USA			Homo sapiens	2024-03-26		Garrigues et al.	Garrigues,J.M.,Green,N.M.	Los Angeles County Public Health Laboratories	IIb	hMPXV-1	B.1.20	0.9710611584663986	3389	594	3	good	good	good	good	good		False	2023.817808219178
