strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	abbr_authors	authors	institution	serotype_genbank	genotype_nextclade	alignmentStart	alignmentEnd	genome_coverage	failedCdses	E_coverage	C_coverage	M_coverage	pr_coverage	NS1_coverage	NS2A_coverage	NS2B_coverage	NS3_coverage	NS4A_coverage	2K_coverage	NS4B_coverage	NS5_coverage	num_date
DENV2_RUN_S26b84_2020	OR235766	OR235766.1	2020-01-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2020.0013661202186:2020.0833333333333]
DENV2_RUN_S26b82_2019	OR235768	OR235768.1	2019-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.16301369863:2019.2452054794521]
DENV2_RUN_S26b81_2019	OR235769	OR235769.1	2019-07-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9786440361839036		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.996	[2019.4972602739726:2019.5794520547945]
DENV2_RUN_S26b79_2019	OR235771	OR235771.1	2019-10-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.7493150684932:2019.831506849315]
DENV2_RUN_S26b69_2019	OR235781	OR235781.1	2019-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.16301369863:2019.2452054794521]
DENV2_RUN_S26b67_2019	OR235783	OR235783.1	2019-04-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2019.2479452054795:2019.327397260274]
DENV2_RUN_S24b26_2017	OR235793	OR235793.1	2017-04-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.2479452054795:2017.327397260274]
DENV2_RUN_S24b24_2016	OR235795	OR235795.1	2016-05-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2016.3319672131147:2016.4139344262296]
DENV2_RUN_S24b22_2016	OR235797	OR235797.1	2016-04-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2016.25:2016.3292349726776]
DENV2_RUN_S24b19_2016	OR235800	OR235800.1	2016-03-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2016.1653005464482:2016.2472677595629]
DENV2_RUN_S24b16_2017	OR235803	OR235803.1	2017-11-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.8342465753424:2017.9136986301369]
DENV2_RUN_S24b14_2017	OR235805	OR235805.1	2017-01-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.0013698630137:2017.0835616438355]
DENV2_RUN_S24b08_2017	OR235811	OR235811.1	2017-07-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.4972602739726:2017.5794520547945]
DENV2_RUN_S24b06_2017	OR235813	OR235813.1	2017-06-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.4150684931508:2017.4945205479453]
DENV2_RUN_S24b04_2017	OR235815	OR235815.1	2017-01-XX	Europe	France	Réunion		10506	Homo sapiens	2024-03-21	2024-03-21	Frumence et al.	Frumence,E.,Traversier,N.,Jaffar Bandjee,M.-C.	CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe	denv2	DENV2/C	157.0	10662.0	0.9797631259908608		1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	[2017.0013698630137:2017.0835616438355]
