name,date,location
A/HaNoi/Q545/2007|CY105720|07/27/2007|Viet_Nam||H3N2/4-1412,2007.56947296,Viet_Nam
A/Texas/UR06_0358/2007|CY027565|02/20/2007|USA|06_07|H3N2/5-1413,2007.13963039,USA
A/Hong_Kong/CUHK52863/2004|EU857324|08/17/2004|Hong_Kong||H3N2/1-1409,2004.62970568,Hong_Kong
A/Peru/PER004/2010|CY160314|11/20/2010|Peru||H3N2/8-1416,2010.88706366,Peru
A/Waikato/1/2000|CY011594|08/09/2000|New_Zealand||H3N2/8-1416,2000.60780287,New_Zealand
A/Hong_Kong/1179/99|AF386762|1999|Hong_Kong||H3N2/20-1428,1999.00273785,Hong_Kong
A/West_Virginia/17/2012|KC892590|08/05/2012|USA||H3N2/1-1409,2012.59685147,USA
A/New_York/913/2005|CY020535|01/10/2005|USA|04_05|H3N2/5-1413,2005.02737851,USA
A/Novosibirsk/59d/2012|KC135499|03/14/2012|Russia|11_12|H3N2/1-1409,2012.20260096,Russia
A/Hong_Kong/CUHK42644/2005|EU857290|07/09/2005|Hong_Kong||H3N2/1-1409,2005.52019165,Hong_Kong
A/Texas/83/2012|KF790498|11/02/2012|USA|12_13|H3N2/1-1409,2012.84052019,USA
A/Peru/PER279/2010|CY162474|09/20/2010|Peru||H3N2/8-1416,2010.72005476,Peru
A/New_York/500/2004|CY009270|12/10/2004|USA|04_05|H3N2/8-1416,2004.94455852,USA
A/Christchurch/89/2004|CY002932|09/03/2004|New_Zealand||H3N2/19-1427,2004.67624914,New_Zealand
A/New_York/573/1996|CY009502|12/23/1996|USA|96_97|H3N2/8-1416,1996.98015058,USA
A/Alabama/07/2010|KC882677|10/28/2010|USA|10_11|H3N2/1-1409,2010.82409309,USA
A/Ohio/UR06_0410/2007|CY027501|02/23/2007|USA|06_07|H3N2/1-1409,2007.14784394,USA
A/Singapore/C2010.471aV/2010|JX437745|06/21/2010|Singapore||H3N2/20-1428,2010.47091034,Singapore
A/Massachusetts/13/2013|KF790299|08/22/2013|USA||H3N2/1-1409,2013.64065708,USA
A/Wyoming/02/2009|GQ385905|02/02/2009|USA|08_09|H3N2/1-1409,2009.09034908,USA
A/California/NHRC0001/2003|CY090943|11/13/2003|USA||H3N2/4-1412,2003.8678987,USA
A/Hong_Kong/H090_714_V10/2009|CY106698|07/15/2009|Hong_Kong||H3N2/8-1416,2009.53661875,Hong_Kong
A/Kentucky/UR07_0085/2008|CY037825|02/25/2008|USA|07_08|H3N2/1-1409,2008.15331964,USA
A/Netherlands/241/1982|CY113295|12/01/1982|Netherlands|82_83|H3N2/4-1412,1982.91718001,Netherlands
A/Alaska/04/2013|KF790192|04/24/2013|USA|12_13|H3N2/1-1409,2013.31211499,USA
A/Bilthoven/628/1976|CY113191|1976|Netherlands||H3N2/4-1412,1976.00273785,Netherlands
A/Hong_Kong/CUHK22185/1997|EU857208|08/23/1997|Hong_Kong||H3N2/1-1409,1997.64339493,Hong_Kong
A/Wellington/18/2004|CY013471|09/06/2004|New_Zealand||H3N2/5-1413,2004.6844627,New_Zealand
A/Canterbury/207/2004|CY007517|09/21/2004|New_Zealand||H3N2/8-1416,2004.72553046,New_Zealand
A/Malaysia/10717/1996|CY118476|09/02/1996|Malaysia||H3N2/4-1412,1996.67351129,Malaysia
A/New_York/332/1999|CY001994|02/17/1999|USA|98_99|H3N2/17-1425,1999.13141684,USA
A/New_Mexico/09/2013|KF790016|03/22/2013|USA|12_13|H3N2/1-1409,2013.22176591,USA
A/California/VRDL354/2009|CY068043|05/26/2009|USA||H3N2/4-1412,2009.39972621,USA
A/Pennsylvania/PIT22/2008|CY035064|01/23/2008|USA|07_08|H3N2/1-1409,2008.06297057,USA
A/New_York/01/2010|KC535392|2010|USA||H3N2/1-1409,2010.00273785,USA
A/Wellington/5/2005|CY015614|07/26/2005|New_Zealand||H3N2/5-1413,2005.56673511,New_Zealand
A/Canterbury/60/2002|CY008294|06/30/2002|New_Zealand||H3N2/2-1410,2002.49555099,New_Zealand
A/New_York/612/1995|CY010662|12/19/1995|USA|95_96|H3N2/8-1416,1995.96646133,USA
A/Memphis/137/76|CY006725|1976|USA||H3N2/8-1416,1976.00273785,USA
A/Nebraska/11/2012|KF789669|11/26/2012|USA|12_13|H3N2/1-1409,2012.90622861,USA
A/North_Carolina/14/2012|KC892178|04/09/2012|USA|11_12|H3N2/1-1409,2012.27378508,USA
A/Massachusetts/15/2012|KF789897|12/18/2012|USA|12_13|H3N2/1-1409,2012.96646133,USA
A/HaNoi/Q638/2007|CY105736|08/29/2007|Viet_Nam||H3N2/4-1412,2007.65982204,Viet_Nam
A/Hong_Kong/1/68|AF348187|1968|Hong_Kong||H3N2/19-1427,1968.00273785,Hong_Kong
A/New_York/268/2003|CY001634|11/27/2003|USA|03_04|H3N2/18-1426,2003.90622861,USA
A/Peru/PER187/2011|CY161762|11/07/2011|Peru||H3N2/8-1416,2011.85147159,Peru
A/Peru/PER212/2010|CY161962|11/02/2010|Peru||H3N2/8-1416,2010.83778234,Peru
