accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
OP743985	OP743985.1	MpxV/human/USA/WA-UW-096529/2022	2022-09-XX	North America	USA	Washington		Homo sapiens	2022-10-31	SRR22085325	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1	1.0	0	611	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OP743996	OP743996.1	MpxV/human/USA/WA-UW-108647/2022	2022-10-XX	North America	USA	Washington		Homo sapiens	2022-10-31	SRR22094396	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1.2	1.0	0	608	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OP748963	OP748963.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00277/2022	2022-10-13	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9212054216592548	13990	557	1	mediocre	good	good	good	good		False	2022.782191780822
OP748966	OP748966.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00280/2022	2022-10-17	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.3	0.9834033943684112	1725	597	0	good	good	good	good	good		False	2022.7931506849316
OP751216	OP751216.1	B1118402	2022-09-07	North America	USA	Delaware		Homo sapiens	2022-11-01		Bajwa et al.	Bajwa,M.I.,Miller,H.	Delaware Public Health Lab, Sequencing/Bioinformatics	IIb	hMPXV-1	B.1.2	0.9233706372427222	13555	556	1	mediocre	good	good	good	good		False	2022.6835616438357
OP819955	OP819955.1	VAC_INS_MPX_0962_C	2022-10-13	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.16	0.9796256763129472	3894	603	0	good	good	good	good	good		False	2022.782191780822
OP837477	OP837477.1	DC_INS_MPX_0998_L	2022-09-20	South America	Colombia	Cundinamarca	Bogota (Cundinamarca)	Homo sapiens	2022-11-16		Laiton-Donato et al.	Laiton-Donato,K.D.,Franco,C.E.,Alvarez-Diaz,D.A.,Ruiz-Moreno,H.A.,Prada,D.A.,Martinez,D.,Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	IIb	hMPXV-1	B.1.15	0.9431111156184556	11095	573	0	mediocre	good	good	good	good		False	2022.7191780821918
OP879752	OP879752.1	NJ-MPXV-037	2022-07-19	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321703	Palmateer et al.	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories	IIb	hMPXV-1	B.1	0.871785770426299	23729	553	0	bad	good	good	good	good		False	2022.5465753424658
OP890526	OP890526.1	MPXV/Human/USA/CA-LACPHL-MA00322/2022	2022-10-31	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.3	0.9816336982592072	2076	603	0	good	good	good	good	good		False	2022.831506849315
OP890528	OP890528.1	MPXV/Human/USA/CA-LACPHL-MA00295/2022	2022-11-01	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.910977693715804	16008	549	0	mediocre	good	good	good	good		False	2022.8342465753424
OP890538	OP890538.1	MPXV/Human/USA/CA-LACPHL-MA00304/2022	2022-09-29	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.4	0.9762891145941616	3126	601	2	good	good	good	good	good		False	2022.7438356164384
