# started on Wed Jul 29 05:21:19 2026

25108.59,msec,task-clock,25108587308,100.00,0.999,CPUs utilized
109,,context-switches,25108587308,100.00,4.341,/sec
3,,cpu-migrations,25108587308,100.00,0.119,/sec
111597,,page-faults,25108587308,100.00,4.445,K/sec
122659850421,,cycles,16738721826,66.00,,
197688789142,,instructions,20923806171,83.00,1.61,insn per cycle
20208808600,,branches,20923675231,83.00,804.856,M/sec
200593437,,branch-misses,20923661770,83.00,0.99,of all branches
5235312444,,cache-references,20924076890,83.00,208.507,M/sec
93895186,,cache-misses,20924213515,83.00,1.79,of all cache refs
