# started on Wed Jul 29 05:22:18 2026

29737.43,msec,task-clock,29737429624,100.00,3.424,CPUs utilized
23206,,context-switches,29737429624,100.00,780.363,/sec
263,,cpu-migrations,29737429624,100.00,8.844,/sec
116199,,page-faults,29737429624,100.00,3.907,K/sec
144741185417,,cycles,19805222891,66.00,,
201660394280,,instructions,24771550492,83.00,1.39,insn per cycle
21031289502,,branches,24767074141,83.00,707.233,M/sec
219370547,,branch-misses,24791479552,83.00,1.04,of all branches
5960736745,,cache-references,24785264206,83.00,200.446,M/sec
108926276,,cache-misses,24800677706,83.00,1.83,of all cache refs
