# started on Wed Jul 29 05:20:04 2026

25062.72,msec,task-clock,25062724217,100.00,0.999,CPUs utilized
104,,context-switches,25062724217,100.00,4.150,/sec
3,,cpu-migrations,25062724217,100.00,0.120,/sec
106469,,page-faults,25062724217,100.00,4.248,K/sec
122442419875,,cycles,16709723895,66.00,,
197676231709,,instructions,20886057145,83.00,1.61,insn per cycle
20197542679,,branches,20884550635,83.00,805.880,M/sec
201893039,,branch-misses,20886275514,83.00,1.00,of all branches
5219949174,,cache-references,20885329383,83.00,208.275,M/sec
92235191,,cache-misses,20885017441,83.00,1.77,of all cache refs
