accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	G_clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	G_coverage	F_coverage	num_date
OQ595276	OQ595276.1	Kilifi/RSVA/HF20046_23/03/2018	2018-03-23	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43405	236	15014	0.9686042692939244	1.0	1.0	2018.2232876712328
OQ595329	OQ595329.1	Kilifi/RSVA/HF20099_13/02/2018	2018-02-13	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43381	236	15014	0.968735632183908	1.0	1.0	2018.1191780821919
OQ848536	OQ848536.1	hRSV/A/USA/7H5/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174244	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.D	GA2.3.3	0.0	good	44883	44	15208	0.9959934318555008	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ941724	OQ941724.1	OQ941724	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43970	238	15078	0.9747783251231528	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OR287848	OR287848.1	RSV-A/human/USA/WA-S23234/2019	2019-11-17	North America	USA	Washington	Snohomish County	Homo sapiens	2023-08-26		Frazar et al.	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	The Brotman Baty Institute for Precision Medicine	A.D.1	GA2.3.5	0.0	good	44860	24	15222	0.9972413793103448	1.0	1.0	2019.8780821917808
OR522531	OR522531.1	RSV-A/human/USA/WA-S23818/2023	2023-01-03	North America	USA	Washington	King County WA	Homo sapiens	2023-10-11		Frazar et al.	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	The Brotman Baty Institute for Precision Medicine	A.D.5.2	GA2.3.5	0.0	good	44285	25	15159	0.9741215106732348	1.0	1.0	2023.0068493150684
OR795294	OR795294.1	hRSV/A/Germany/00-02321/2000	2000-02-23	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.2.1	GA3.0.2	0.0	good	42730	1	15215	0.999343185550082	1.0	1.0	2000.146174863388
OR795304	OR795304.1	hRSV/A/Germany/02-02688/2002	2002-04-25	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.3	GA2.3.2b	0.0	good	44039	1	15215	0.999343185550082	1.0	1.0	2002.313698630137
OR795305	OR795305.1	hRSV/A/Germany/03-00082/2002	2002-10-25	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.3	GA2.2	0.0	good	43009	1	15211	0.999080459770115	1.0	1.0	2002.8150684931506
OR795310	OR795310.1	hRSV/A/Germany/04-01612/2004	2004-02-07	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.2.1.1	GA3.0.2	0.0	good	42671	1	15215	0.999343185550082	1.0	1.0	2004.1024590163934
OR795313	OR795313.1	hRSV/A/Germany/05-00643/2004	2004-12-17	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.2.1.1	GA3.0.2	0.0	good	42669	1	15215	0.999343185550082	1.0	1.0	2004.9603825136612
OR795320	OR795320.1	hRSV/A/Germany/06-02671/2006	2006-03-29	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.2.1.1	GA3.0.2	0.0	good	42557	1	15215	0.999343185550082	1.0	1.0	2006.2397260273972
OR795315	OR795315.1	hRSV/A/Germany/05-00962/2005	2005-01-11	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.3	GA2.3.2b	0.0	good	43985	1	15214	0.9992775041050904	1.0	1.0	2005.0287671232877
OR795324	OR795324.1	hRSV/A/Germany/07-02759/2007	2007-03-05	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.2.1	GA3.0.2	0.0	good	42615	1	15214	0.9992775041050904	1.0	1.0	2007.1739726027397
OR795458	OR795458.1	hRSV/A/Germany/22-01987/2021	2021-11-24	Europe	Germany			Homo sapiens	2024-02-13		Kondgen et al.	Kondgen,S.,Reiche,J.	Robert Koch Institut	A.D.5.2	GA2.3.5	0.0	good	44899	1	15225	1.0	1.0	1.0	2021.8972602739725
PP376414	PP376414.1	490103029	2020-03-23	Europe	Germany			Homo sapiens	2024-04-09		Langedijk et al.	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	UMC Utrecht, Paediatric Infectious Diseases	A.D	GA2.3.5	1.284444	good	44945	1	15225	1.0	1.0	1.0	2020.2254098360656
PP376775	PP376775.1	310101001	2017-11-03	Europe	Netherlands			Homo sapiens	2024-04-09		Langedijk et al.	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	UMC Utrecht, Paediatric Infectious Diseases	A.D.2.2	GA2.3.5	1.5625	good	45158	1	15204	0.9985550082101806	1.0	1.0	2017.8397260273973
PP376811	PP376811.1	010103028	2020-01-06	North America	Canada			Homo sapiens	2024-04-09		Langedijk et al.	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	UMC Utrecht, Paediatric Infectious Diseases	A.D.1	GA2.3.5	6.25	good	44910	1	15225	0.9998686371100164	1.0	1.0	2020.0150273224044
PP377575	PP377575.1	270102010	2019-02-27	Africa	South Africa			Homo sapiens	2024-04-09		Langedijk et al.	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	UMC Utrecht, Paediatric Infectious Diseases	A.D.4.1	GA2.3.5	56.25	mediocre	44857	1	15215	0.999343185550082	1.0	1.0	2019.1575342465753
PP504649	PP504649.1	MN-MDH-RSVA-00217	2023-11-13	North America	USA	Minnesota		Homo sapiens	2024-03-26	SRR28151045	Kunerth et al.	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab	A.D.5.2	GA2.3.5	0.0	good	42642	82	14940	0.9039737274220032	1.0	1.0	2023.8671232876711
PP681244	PP681244.1	RSVA/human/USA/NY-USAFSAM-R00012/2022	2022-11-29	North America	USA	New York		Homo sapiens	2024-04-23		Fries et al.	Fries,A.,Padraic,F.,Jennifer,M.,Kelsey,L.,William,G.,Deanna,M.,Sarah,P.,Elizabeth,M.	US Air Force, USAFSAM	A.D.5.2	GA2.3.5	0.0	good	44466	44	15145	0.99192118226601	1.0	1.0	2022.9109589041095
PP781425	PP781425.1	hRSV-A-G43R60M2	2024-01-02	North America	USA			Homo sapiens	2024-05-18		Lauring et al.	Lauring,A.S.,Papalambros,L.K.	University Of Michigan, Internal Medicine - Infectious Disease	A.D.1.5	GA2.3.5	56.25	mediocre	39848	854	14976	0.8164203612479475	1.0	1.0	2024.0040983606557
PP830409	PP830409.1	MN-MDH-RSVA-00474	2023-12-22	North America	USA	Minnesota		Homo sapiens	2024-05-29	SRR29105536	Kunerth et al.	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab	A.D.5.4	GA2.3.5	0.0	good	43728	82	15128	0.954679802955665	1.0	1.0	2023.9739726027397
