accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	G_clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	G_coverage	F_coverage	num_date
OQ595261	OQ595261.1	Kilifi/RSVA/HF20031_11/03/2018	2018-03-11	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43384	236	15014	0.9685385878489328	1.0	1.0	2018.190410958904
OQ595276	OQ595276.1	Kilifi/RSVA/HF20046_23/03/2018	2018-03-23	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43405	236	15014	0.9686042692939244	1.0	1.0	2018.2232876712328
OQ595329	OQ595329.1	Kilifi/RSVA/HF20099_13/02/2018	2018-02-13	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43381	236	15014	0.968735632183908	1.0	1.0	2018.1191780821919
OQ848536	OQ848536.1	hRSV/A/USA/7H5/2011	2011-01-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174244	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A.D	GA2.3.3	0.0	good	44883	44	15208	0.9959934318555008	1.0	1.0	[2011.0013698630137:2011.0835616438355]
OQ941724	OQ941724.1	OQ941724	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43970	238	15078	0.9747783251231528	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941731	OQ941731.1	OQ941731	2017-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D.1	GA2.3.5	0.0	good	43583	241	15009	0.970049261083744	1.0	1.0	[2017.0013698630137:2017.9986301369863]
OQ941749	OQ941749.1	OQ941749	2017-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	0.0	good	43632	244	15014	0.9701806239737274	1.0	1.0	[2017.0013698630137:2017.9986301369863]
OQ941755	OQ941755.1	OQ941755	2016-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A.D	GA2.3.5	216.694444	bad	40899	743	15015	0.937471264367816	1.0	1.0	[2016.0013661202186:2016.9986338797814]
OQ941770	OQ941770.1	OQ941770	1956-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A	unassigned	61.387778	mediocre	41235	178	15014	0.9745155993431855	1.0	1.0	[1956.0013661202186:1956.9986338797814]
OQ941771	OQ941771.1	OQ941771	1956-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A	unassigned	56.25	mediocre	41122	241	15088	0.9752380952380952	1.0	1.0	[1956.0013661202186:1956.9986338797814]
OQ941776	OQ941776.1	OQ941776	1956-XX-XX	Oceania	Australia			Homo sapiens	2023-08-09		Pangesti et al.	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	Westmead Institute for Medical Research (WIMR) & Sydney Infectious Disease Institute (Sydney ID), Centre for Infectious Diseases and Microbiology	A	unassigned	225.0	bad	40867	238	15016	0.9707060755336616	1.0	1.0	[1956.0013661202186:1956.9986338797814]
