name, date
A/Texas/UR06_0358/2007|CY027565|02/20/2007|USA|06_07|H3N2/5-1413, 2007.13963039
A/Western_Australia/8/2000|CY015662|10/17/2000|Australia||H3N2/1-1409, 2000.79671458
A/Australia/NHRC0008/2003|CY091279|07/08/2003|Australia||H3N2/4-1412, 2003.5174538
A/Canterbury/404/2003|CY007045|07/05/2003|New_Zealand||H3N2/8-1416, 2003.50924025
A/California/VRDL183/2009|CY068696|04/27/2009|USA|08_09|H3N2/4-1412, 2009.32032854
A/Denmark/120/2003|EU103940|2003|Denmark||H3N2/1-1409, 2003.00273785
A/New_York/407/2002|CY003426|01/08/2002|USA|01_02|H3N2/8-1416, 2002.02190281
A/South_Australia/72/2000|CY021775|2000|Australia||H3N2/1-1409, 2000.00273785
A/South_Carolina/07/2008|GQ385873|12/31/2008|USA|08_09|H3N2/1-1409, 2009.00205339
A/North_Carolina/10/2011|KC892419|12/01/2011|USA|11_12|H3N2/1-1409, 2011.91718001
A/Hong_Kong/CUHK40210/2005|EU857280|06/06/2005|Hong_Kong||H3N2/1-1409, 2005.42984257
A/Bilthoven/628/1976|CY113191|1976|Netherlands||H3N2/4-1412, 1976.00273785
A/Malaysia/1681079/2006|CY118940|11/24/2006|Malaysia||H3N2/4-1412, 2006.89801506
A/Mississippi/01/2013|KF790359|01/08/2013|USA|12_13|H3N2/1-1409, 2013.02190281
A/Novosibirsk/707/2009|CY053673|03/2009|Russia|08_09|H3N2/16-1424, 2009.16427105
A/Boston/DOA2_104/2012|CY148358|12/22/2012|USA|12_13|H3N2/1-1409, 2012.97741273
A/Boston/DOA01/2011|CY111128|01/03/2011|USA|10_11|H3N2/4-1412, 2011.00821355
A/Saint_Petersburg/RII03/2012|CY114550|02/06/2012|Russia|11_12|H3N2/9-1417, 2012.10130048
A/New_South_Wales/21/1999|CY016557|1999|Australia||H3N2/5-1413, 1999.00273785
A/HaNoi/Q638/2007|CY105736|08/29/2007|Viet_Nam||H3N2/4-1412, 2007.65982204
A/Texas/40/2009|GQ895023|02/24/2009|USA|08_09|H3N2/1-1409, 2009.15058179
A/Iowa/14/2012|KF790285|10/18/2012|USA|12_13|H3N2/1-1409, 2012.79945243
A/Boston/DOA24/2011|CY116709|02/01/2011|USA|10_11|H3N2/4-1412, 2011.08761123
A/New_York/UR07_0080/2008|CY036969|02/25/2008|USA|07_08|H3N2/1-1409, 2008.15331964
A/Nanchang/0074/94|CY003754|1994|China||H3N2/8-1416, 1994.00273785
A/Nebraska/02/2013|KF790067|01/02/2013|USA|12_13|H3N2/1-1409, 2013.0054757
A/Peru/PER251/2010|CY162258|10/12/2010|Peru||H3N2/8-1416, 2010.78028747
A/Hong_Kong/CUHK51424/2001|EU857312|12/26/2001|Hong_Kong||H3N2/1-1409, 2001.98562628
A/Kentucky/11/2010|KC883205|10/18/2010|USA|10_11|H3N2/1-1409, 2010.79671458
A/Colorado/07/2011|KC892191|10/23/2011|USA|11_12|H3N2/1-1409, 2011.81040383
A/Cambodia/V1013305/2011|KC118547|10/10/2011|Cambodia||H3N2/1-1409, 2011.77481177
A/Peru/PER389/2012|CY163314|04/02/2012|Peru||H3N2/8-1416, 2012.25462012
A/Port_chalmers/1/1973|CY009350|1973|New_Zealand||H3N2/8-1416, 1973.00273785
A/Kentucky/UR07_0148/2008|CY038857|03/10/2008|USA|07_08|H3N2/1-1409, 2008.19164956
A/Hong_Kong/CUHK71313/2003|EU857364|09/21/2003|Hong_Kong||H3N2/1-1409, 2003.72279261
A/Pennsylvania/04/2007|EU516043|03/03/2007|USA|06_07|H3N2/1-1409, 2007.16974675
A/Singapore/GP1797/2011|CY124274|11/29/2011|Singapore||H3N2/20-1428, 2011.91170431
A/New_York/665/1994|CY011522|12/16/1994|USA|94_95|H3N2/8-1416, 1994.95824778
A/Fujian/445/2003|CY121450|2003|China||H3N2/1-1409, 2003.00273785
A/Hong_Kong/CUHK12794/1997|EU857131|06/11/1997|Hong_Kong||H3N2/1-1409, 1997.44353183
A/Kentucky/UR06_0158/2007|CY026885|02/05/2007|USA|06_07|H3N2/5-1413, 2007.09856263
A/Hong_Kong/H090_763_V2|JN256790|08/03/2009|Hong_Kong||H3N2/1-1409, 2009.58863792
A/Lyon/672/1993|CY113983|02/22/1993|France|92_93|H3N2/4-1412, 1993.14510609
A/Wellington/55/2004|CY020343|09/27/2004|New_Zealand||H3N2/5-1413, 2004.74195756
A/Memphis/3/80|CY008470|1980|USA||H3N2/8-1416, 1980.00273785
A/Singapore/C2011.641/2011|KF014491|08/22/2011|Singapore||H3N2/20-1428, 2011.64065708
A/California/14/2013|KF789566|01/29/2013|USA|12_13|H3N2/1-1409, 2013.07939767
A/Boston/DOA2_158/2013|CY148766|01/03/2013|USA|12_13|H3N2/1-1409, 2013.00821355
A/TayNguyen/TN348/2005|CY105376|08/01/2005|Viet_Nam||H3N2/5-1413, 2005.58316222
A/Singapore/GP1382/2011|CY124208|08/03/2011|Singapore||H3N2/20-1428, 2011.58863792
A/England/460/2003|CY088088|11/11/2003|United_Kingdom|03_04|H3N2/1-1409, 2003.862423
A/Singapore/C2009.515/2009|KF014467|07/07/2009|Singapore||H3N2/20-1428, 2009.51471595
A/New_York/381/2004|CY002250|12/28/2004|USA|04_05|H3N2/18-1426, 2004.99383984
A/Guangdong/460/2010|CY091846|10/22/2010|China||H3N2/20-1428, 2010.80766598
A/Moscow/02/2012|JQ988034|02/01/2012|Russia|11_12|H3N2/22-1430, 2012.08761123
A/Peru/PER388/2011|CY163306|09/14/2011|Peru||H3N2/8-1416, 2011.70362765
A/Singapore/GP1583/2011|CY124238|10/07/2011|Singapore||H3N2/20-1428, 2011.76659822
A/Waikato/51/2002|CY012058|08/12/2002|New_Zealand||H3N2/8-1416, 2002.61327858
A/New_York/320/1999|CY001858|03/26/1999|USA|98_99|H3N2/17-1425, 1999.23271732
A/England/492/2003|CY088288|11/21/2003|United_Kingdom|03_04|H3N2/1-1409, 2003.88980151
A/Denmark/72/2003|EU103942|2003|Denmark||H3N2/1-1409, 2003.00273785
A/New_York/517/1998|CY006285|01/03/1998|USA|97_98|H3N2/4-1412, 1998.00821355
A/Singapore/H2011.507/2011|KF014518|07/04/2011|Singapore||H3N2/20-1428, 2011.5065024
A/Waikato/1/2001|CY011970|04/25/2001|New_Zealand||H3N2/2-1410, 2001.31485284
A/Netherlands/357/1993|CY114071|12/06/1993|Netherlands|93_94|H3N2/4-1412, 1993.93086927
A/Peru/PER395/2011|CY163362|10/24/2011|Peru||H3N2/8-1416, 2011.81314168
A/Boston/DOA2_110/2012|CY148406|12/07/2012|USA|12_13|H3N2/1-1409, 2012.93634497
A/Alaska/16/2012|KC892528|07/13/2012|USA||H3N2/1-1409, 2012.5338809
A/Auckland/608/2002|CY022551|06/08/2002|New_Zealand||H3N2/5-1413, 2002.43531828
A/Colorado/17/2012|KC892646|06/21/2012|USA||H3N2/1-1409, 2012.47364819
A/Memphis/103/74|CY006829|1974|USA||H3N2/8-1416, 1974.00273785
A/HaNoi/BT251/2007|CY105504|07/26/2007|Viet_Nam||H3N2/5-1413, 2007.56673511
A/Managua/3587.02/2010|CY098075|06/03/2010|Nicaragua||H3N2/4-1412, 2010.42162902
