accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	G_clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	G_coverage	F_coverage	num_date
OQ595261	OQ595261.1	Kilifi/RSVA/HF20031_11/03/2018	2018-03-11	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43384	236	15014	0.9685385878489328	1.0	1.0	2018.190410958904
OQ595266	OQ595266.1	Kilifi/RSVA/HF20036_13/03/2018	2018-03-13	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43372	236	15014	0.9685385878489328	1.0	1.0	2018.195890410959
OQ595267	OQ595267.1	Kilifi/RSVA/HF20037_15/03/2018	2018-03-15	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D	GA2.3.5	0.0	good	43437	236	15014	0.9685385878489328	1.0	1.0	2018.2013698630137
OQ595295	OQ595295.1	Kilifi/RSVA/HF20065_11/04/2018	2018-04-11	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.2.2	GA2.3.5	0.0	good	43662	236	15014	0.9686042692939244	1.0	1.0	2018.2753424657535
OQ595308	OQ595308.1	Kilifi/RSVA/HF20078_26/04/2018	2018-04-26	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43388	236	15014	0.9686042692939244	1.0	1.0	2018.3164383561643
OQ595321	OQ595321.1	Kilifi/RSVA/HF20091_25/01/2018	2018-01-25	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43381	236	15014	0.968735632183908	1.0	1.0	2018.0671232876712
OQ595344	OQ595344.1	Kilifi/RSVA/HF20114_01/03/2018	2018-03-01	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43408	236	15014	0.9688013136289	1.0	1.0	2018.16301369863
OQ595362	OQ595362.1	Kilifi/RSVA/HF20132_26/03/2018	2018-03-26	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43406	236	15014	0.9686699507389164	1.0	1.0	2018.231506849315
OQ595372	OQ595372.1	Kilifi/RSVA/HF20142_07/05/2018	2018-05-07	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	41204	236	15014	0.8187848932676519	1.0	1.0	2018.3465753424657
OQ848527	OQ848527.1	hRSV/A/USA/6S7/2010	2010-XX-XX	North America	USA			Homo sapiens	2023-05-16	SRR24174237	Sereewit et al.	Sereewit,J.,Hajian,P.,Xie,H.,Greninger,A.L.	UW Virology, Laboratory Medicine	A	unassigned	91.180278	mediocre	42139	1	15220	0.9996059113300492	1.0	1.0	[2010.0013698630137:2010.9986301369863]
