accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	num_date
JN650518	JN650518.1	Josiah	1976-03-11	Africa	Sierra Leone	Songo Hospital	Sebgwema	7274	Homo sapiens		2012-02-01	2012-02-01		Bjornson-Hooper,Z.B.,Gire,S.,Honko,A.,Sabeti,P.C.,Hensley,L.E.	Bjornson-Hooper et al.	United States Army Medical Research Institute for Infectious Diseases, Virology	1976.1926229508197
KU961972	KU961972.2	Togo/2016/7082	2016-02-26	Africa	Togo			7282	Homo sapiens		2016-03-23	2016-07-22		Rieger,T.,Cadar,D.,Schmidt-Chanasit,J.,Gunther,S.	Rieger et al.	Bernhard Nocht Institute for Tropical Medicine, WHO Collaborating Centre for Arboviruses and Hemorrhagic Fever Reference and Research	2016.1543715846994
KU978809	KU978809.1	GUINEA Z-185a	1981-01-20	Africa	Guinea			7274	Homo sapiens		2017-03-25	2017-03-25	SRR3209125	Rossi,S.L.,Guerbois,M.,Forrester,N.L.,Ksiazek,T.,Lin,D.,Hari,K.,Weaver,S.C.	Rossi et al.	University of Texas Medical Branch, Microbiology and Immunology	1981.0534246575342
KU978812	KU978812.1	NIGERIA IKEJI	1989-01-01	Africa	Nigeria			7283	Homo sapiens		2017-03-25	2017-03-25	SRR3287366	Rossi,S.L.,Guerbois,M.,Forrester,N.L.,Ksiazek,T.,Lin,D.,Hari,K.,Weaver,S.C.	Rossi et al.	University of Texas Medical Branch, Microbiology and Immunology	1989.0013698630137
KY425632	KY425632.1	IRF0193	1976-03-XX	Africa	Sierra Leone	Sebgwema		7273	Homo sapiens	True	2017-01-15	2017-01-15		Sword,J.M.,Johnson,J.C.,Wohl,S.,Barnes,K.G.,Sabeti,P.C.,Gerhardt,D.M.,Hensley,L.E.,Olinger,G.,Jahrling,P.B.,Honko,A.N.	Sword et al.	National Institute of Allergy and Infectious Diseases, National Institutes of Health, Integrated Research Facility - Frederick	[1976.1653005464482:1976.2472677595629]
KY425634	KY425634.1	IRF0172	1976-03-XX	Africa	Sierra Leone	Sebgwema		7277	Homo sapiens	True	2017-01-15	2017-01-15		Honko,A.N.,Hensley,L.E.,Wohl,S.,Barnes,K.G.,Sabeti,P.C.,Olinger,G.,Jahrling,P.B.,Sword,J.M.	Honko et al.	National Institute of Allergy and Infectious Diseases, National Institutes of Health, Integrated Research Facility - Frederick	[1976.1653005464482:1976.2472677595629]
KY425640	KY425640.1	IRF0201	1976-03-XX	Africa	Sierra Leone	Sebgwema		7273	Homo sapiens	True	2017-01-15	2017-01-15		Honko,A.N.,Hensley,L.E.,Wohl,S.,Barnes,K.G.,Sabeti,P.C.,Olinger,G.,Jahrling,P.B.,Sword,J.M.	Honko et al.	National Institute of Allergy and Infectious Diseases, National Institutes of Health, Integrated Research Facility - Frederick	[1976.1653005464482:1976.2472677595629]
KY425651	KY425651.1	IRF0205	1976-03-XX	Africa	Sierra Leone	Sebgwema		7274	Homo sapiens	True	2017-01-15	2017-01-15		Gerhardt,D.M.,Sword,J.M.,Wohl,S.,Barnes,K.G.,Sabeti,P.C.,Hensley,L.E.,Olinger,G.,Jahrling,P.B.,Honko,A.N.	Gerhardt et al.	National Institute of Allergy and Infectious Diseases, National Institutes of Health, Integrated Research Facility - Frederick	[1976.1653005464482:1976.2472677595629]
LT601601	LT601601.1	Alzey	2016-03-16	Africa	Togo			7282			2016-07-28	2017-10-11		Hain,T.	Hain et al.	Institute for Medical Microbiology, NGS core facility, Justus-Liebig-University, Institute for Medical Microbiology, Schuberttrasse 81, 35392 Giessen, Hessia, 35392	2016.2062841530055
MF990886	MF990886.1	Lassa/H.sapiens-wt/TGO/2016/201600568	2016-03-12	Africa	Togo			7286	Homo sapiens		2018-03-21	2018-03-21		Whitmer,S.L.M.,Strecker,T.,Cadar,D.,Dienes,H.P.,Faber,K.,Patel,K.,Brown,S.M.,Davis,W.G.,Klena,J.D.,Rollin,P.E.,Schmidt-Chanasit,J.,Fichet-Calvet,E.,Noack,B.,Emmerich,P.,Rieger,T.,Wolff,S.,Fehling,S.K.,Eickmann,M.,Mengel,J.P.,Schultze,T.,Hain,T.,Ampofo,W.,Bonney,K.,Aryeequaye,J.N.D.,Ribner,B.,Varkey,J.B.,Mehta,A.K.,Lyon,G.M. III,Kann,G.,De Leuw,P.,Schuettfort,G.,Stephan,C.,Wieland,U.,Fries,J.W.U.,Kochanek,M.,Kraft,C.S.,Wolf,T.,Nichol,S.T.,Becker,S.,Stroher,U.,Gunther,S.,Davis,W.,Stroeher,U.	Whitmer et al.	The Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2016.1953551912568
